Protein,Low Acetate,High Acetate,Higher Acetate,High Fomrate,WTvsAchrs48,WTvsAchr144,WTvsH2hr,WTvsH2hr144
GSU2190,1.469125235,1.306348595,0.876345503,0.876345503,-1.479363594,-1.424470253,1.843152396,1.281115488
GSU2191,1.646583541,1.591248323,1.074937376,1.074937376,-2.455478834,0.051529799,-4.030910356,0.463457244
GSU2192,1.021762089,0.986169413,0.81083376,0.81083376,0.129031166,2.700413352,-0.201935882,-0.33842181
GSU2193,1.523490774,0.513293677,2.346464532,2.346464532,2.481279406,1.188456165,-1.012058919,-3.512452747
GSU2194,0.317900566,0.57040558,0.31099797,0.31099797,1.045633094,-0.499898984,-1.462450381,-0.894471419
GSU2195,-0.221166702,0.116776239,0.032762611,0.032762611,-0.136398567,-2.880633475,1.637679557,-2.184820765
GSU2196,0.986461455,1.153319768,0.998935983,0.998935983,-2.30608425,-2.033752972,0.312989067,-2.134687936
GSU2197,1.464162973,1.474209461,1.103696237,1.103696237,-1.645565164,-1.919589294,-1.167027281,-1.56264123
GSU2198,1.519795466,1.449425751,1.825673373,1.825673373,-3.535678185,0.499338557,-0.663396327,-1.453654154
GSU2199,-1.387599881,0.347832683,0.656092053,0.656092053,-6.743433183,0.583753327,0.875222841,-0.333549883
GSU2200,-0.313668461,0.521389002,0.322240944,0.322240944,-0.970610424,-0.071034492,0.786764007,-2.579478196
GSU2201,-0.40843701,0.331629404,-0.148279709,-0.148279709,-1.173126328,2.730778367,-1.453655998,-0.540509687
GSU2202,-0.527271517,0.387080208,0.367480614,0.367480614,0.438914736,-3.961055846,0.52758038,0.766684853
GSU2203,-2.179294155,-1.53073311,-1.959508661,-1.959508661,-3.991007583,0.166741743,1.1287486,0.714649997
GSU2204,-1.225983268,-0.954833575,-1.389792036,-1.389792036,-0.907935736,-1.6093928,1.48597525,-1.070982716
GSU2205,0.17254386,0.491307271,-0.440434572,-0.440434572,0,0,0,0
GSU2206,-1.207616674,-0.754783782,-0.075317637,-0.075317637,0.047694302,-0.130809304,1.71570158,-0.069674552
GSU2207,0.507890018,0.840865481,0.329207342,0.329207342,-1.278290426,1.400305403,-0.030271827,-0.144639921
GSU2208,-0.472595605,-0.170935212,-1.002406282,-1.002406282,0.409711145,0.767742419,-5.758223115,-3.206263193
GSU2209,-0.843699932,-0.385892212,-0.674380732,-0.674380732,-0.640073496,-1.670963172,-7.03864207,-2.700461569
GSU2210,0.16295681,0.166731576,-0.008150548,-0.008150548,0.550663852,-3.977681983,-5.383249342,-1.348900732
GSU2212,-0.286102404,0.216320304,-0.267745833,-0.267745833,1.110038679,-4.338674421,-1.514871788,0.71993985
GSU2213,-0.284514275,-0.221592336,-0.352271219,-0.352271219,0.685126631,-0.297088545,-1.676494727,1.174496604
GSU2214,0.462627772,0.219678163,-0.036087152,-0.036087152,0.139005469,1.290300478,-2.962457338,-0.124737991
GSU2215,0.565800574,0.112569345,0.236272967,0.236272967,-4.806089872,0.559370937,-1.61688341,-0.240896722
GSU2216,0.774004592,0.674667162,0.309767855,0.309767855,0.346849484,1.65890238,-1.734883957,-0.349005993
GSU2217,1.307040137,0.863364891,0.884656198,0.884656198,1.177547904,1.144524564,-2.59996898,-0.144639921
GSU2218,1.405204541,1.447382367,0.802097811,0.802097811,1.529174681,2.350421466,0.901508134,-0.000570747
GSU2219,0.997882672,0.929610512,1.369625266,1.369625266,2.104471719,0.501823146,0.416459791,0.638660877
GSU2220,1.324656368,0.890870853,0.701374091,0.701374091,0.538284106,-0.396559745,0.616079012,-0.744645274
GSU2221,0.024457712,-0.4548512,-0.926612441,-0.926612441,-0.091237065,-2.284283358,0.576725475,0.495702251
GSU2222,-0.036349916,-0.192238567,-0.137355563,-0.137355563,-0.575265904,-5.310154864,-0.742816377,1.596435987
GSU2223,-0.581524764,-0.559529249,-0.418698169,-0.418698169,-1.804284795,-2.35695737,-4.557935567,0.098174779
GSU2224,0.221942582,0.014791714,-0.14003531,-0.14003531,-2.927744578,-1.889644687,-2.750543049,2.30781372
GSU2225,-0.239304935,0.025948772,-0.290353131,-0.290353131,-2.046124644,-2.048806397,-1.681058039,-0.440646566
GSU2226,-0.389457749,-0.178593732,-0.503005551,-0.503005551,-3.681703358,-1.212045575,-1.108129747,-1.309095609
GSU2227,1.083323538,0.30064169,0.171319271,0.171319271,-1.577085426,-2.27041709,-0.210798275,-1.208933699
GSU2228,0.858868553,0.398487247,0.733364146,0.733364146,-0.328577233,1.207026982,0.385325854,-0.782462477
GSU2229,0.634378625,-0.029999539,-0.05211859,-0.05211859,2.030722724,0.426567033,-0.258823682,-1.505734033
GSU2230,0.322525713,0.056179097,-0.171214704,-0.171214704,0.74077048,1.074946546,-0.559819306,1.008396442
GSU2231,-0.315542196,-0.210235502,-0.113657918,-0.113657918,1.278024956,0.466318507,-0.125887883,1.848240877
GSU2232,-0.191860476,0.045965013,0.002125253,0.002125253,0.674073798,-0.249416483,-4.557935567,0.592524902
GSU2233,0.02954698,0.107576241,0.059560691,0.059560691,-0.387329822,-1.362962645,-4.965075649,-4.568069027
GSU2234,-1.580230654,-1.310321834,-0.667756358,-0.667756358,-0.42341989,0.234569338,-0.85047461,0.101857451
GSU2235,-0.954985963,-0.864358473,-0.848936002,-0.848936002,-4.516943303,-2.945587272,1.084274613,0.92479695
GSU2236,-0.426831552,-0.361160294,-0.39494496,-0.39494496,-2.551336155,-1.394257443,0.441713807,-0.687428908
GSU2237,-1.035410449,-0.772076661,-0.781123482,-0.781123482,-1.355599848,-1.778327889,1.540907859,-0.140709866
GSU2238,0.046634538,-0.381057735,-0.119034964,-0.119034964,-1.786903751,-0.146241931,-0.393903467,-1.252784109
GSU2239,-1.053629123,-0.854084023,-0.827018236,-0.827018236,0.644585184,-0.34201387,1.222284861,-3.630473162
GSU2240,-0.538167683,-0.342482752,-0.794541017,-0.794541017,-0.032748785,0.484443271,0.086204381,-2.779858818
GSU2241,-0.894893902,-0.915562897,-0.959699853,-0.959699853,-0.223051984,0.232870723,0.018764637,-2.790212928
GSU2242,-0.123536847,-0.132322769,-0.036388089,-0.036388089,-0.143674897,-0.716637499,-4.754434413,-0.741621145
GSU2243,-0.357447915,-0.117572829,-0.120458166,-0.120458166,-1.157153763,-0.809362134,-6.20409423,-0.416142755
GSU2244,-0.580152416,-0.283005463,0.513007608,0.513007608,0.457835062,-0.289835879,-6.555284565,-1.235822159
GSU2246,-0.289601572,-0.099415006,0.131960045,0.131960045,0.305289772,-5.123414037,0.699559938,-0.679805466
GSU2247,0.017700843,0.215242859,0.496428608,0.496428608,-1.554863677,-4.783477199,0.263901976,-0.332256684
GSU2248,-1.259622149,-0.795790731,-0.211999005,-0.211999005,1.002040437,-3.678633911,-1.198377474,-1.307369495
GSU2249,-0.532849518,-0.392307757,-0.14672613,-0.14672613,2.111341054,-5.185287743,0.893911079,-1.606924462
GSU2250,-0.453395748,-0.238104082,0.175402904,0.175402904,-1.604431226,2.275810269,-0.362647404,1.892600489
GSU2251,-1.010071798,-0.613812843,-0.52955216,-0.52955216,1.981817592,1.873069282,-0.82003655,-1.045086964
GSU2252,-0.783510098,-0.679233162,-0.546847068,-0.546847068,1.146931747,-4.774164571,-0.57215487,-1.228610095
